20250616 11:42:00 America/New_York,534.69,124.17,75
20250616 11:42:30 America/New_York,534.76,74.65,42
20250616 11:43:00 America/New_York,534.77,167.28,93
20250616 11:43:30 America/New_York,534.75,232.75,68
20250616 11:44:00 America/New_York,534.73,115.91,105
20250616 11:44:30 America/New_York,534.67,84.01,58
20250616 11:45:00 America/New_York,534.71,130.89,94
20250616 11:45:30 America/New_York,534.71,103.57,70
20250616 11:46:00 America/New_York,534.91,197.76,123
20250616 11:46:30 America/New_York,534.92,231.02,113
20250616 11:47:00 America/New_York,534.9,114.72,78
20250616 11:47:30 America/New_York,534.92,97.97,71
20250616 11:48:00 America/New_York,534.83,80.44,65
20250616 11:48:30 America/New_York,534.83,74.87,62
20250616 11:49:00 America/New_York,534.78,86.8,59
20250616 11:49:30 America/New_York,534.85,89.79,51
20250616 11:50:00 America/New_York,534.72,103.81,62
20250616 11:50:30 America/New_York,534.78,101.62,74
20250616 11:51:00 America/New_York,534.67,191.81,117
20250616 11:51:30 America/New_York,534.54,85.67,78
20250616 11:52:00 America/New_York,534.45,223.48,131
20250616 11:52:30 America/New_York,534.46,185.73,142
20250616 11:53:00 America/New_York,534.39,223.75,159
20250616 11:53:30 America/New_York,534.39,215.54,145
20250616 11:54:00 America/New_York,534.35,173.33,137
20250616 11:54:30 America/New_York,534.26,273.42,128
20250616 11:55:00 America/New_York,534.38,314.33,229
20250616 11:55:30 America/New_York,534.24,250.02,166
20250616 11:56:00 America/New_York,534.07,1599.36,1181
20250616 11:56:30 America/New_York,534.04,148.42,99
20250616 11:57:00 America/New_York,534.09,427.78,221
20250616 11:57:30 America/New_York,534.08,286.72,162
20250616 11:58:00 America/New_York,534.18,129.07,86
20250616 11:58:30 America/New_York,534.19,114.17,64
20250616 11:59:00 America/New_York,534.22,333.28,208
20250616 11:59:30 America/New_York,534.16,196.63,137
20250616 12:00:00 America/New_York,534.32,163.07,129
20250616 12:00:30 America/New_York,534.46,266.14,179
20250616 12:01:00 America/New_York,534.21,241.36,164
20250616 12:01:30 America/New_York,534.11,200.94,119
20250616 12:02:00 America/New_York,534.08,351.92,196
20250616 12:02:30 America/New_York,534.1,114.26,54
20250616 12:03:00 America/New_York,534.03,137.65,103
20250616 12:03:30 America/New_York,533.95,205.85,105
20250616 12:04:00 America/New_York,533.99,180.63,122
20250616 12:04:30 America/New_York,534.16,197.89,127
20250616 12:05:00 America/New_York,534.05,221.45,135
20250616 12:05:30 America/New_York,534.04,137.06,92
20250616 12:06:00 America/New_York,534.12,102.3,82
20250616 12:06:30 America/New_York,534.08,46.12,39
20250616 12:07:00 America/New_York,533.89,241.77,200
20250616 12:07:30 America/New_York,534.21,231.52,183
20250616 12:08:00 America/New_York,534.2,99.84,87
20250616 12:08:30 America/New_York,534.18,70.23,49
20250616 12:09:00 America/New_York,534.06,97.69,71
20250616 12:09:30 America/New_York,534.19,79.37,70
20250616 12:10:00 America/New_York,534.11,92.2,87
20250616 12:10:30 America/New_York,534.23,101.72,73
20250616 12:11:00 America/New_York,534.28,99.26,74
20250616 12:11:30 America/New_York,534.29,47.93,29
20250616 12:12:00 America/New_York,534.34,136.99,81
20250616 12:12:30 America/New_York,534.42,108.87,44
20250616 12:13:00 America/New_York,534.49,182.17,112
20250616 12:13:30 America/New_York,534.49,177.26,130
20250616 12:14:00 America/New_York,534.46,50.91,35
20250616 12:14:30 America/New_York,534.46,103.32,50
20250616 12:15:00 America/New_York,534.38,184.85,106
20250616 12:15:30 America/New_York,534.43,145.51,77
20250616 12:16:00 America/New_York,534.49,118.88,62
20250616 12:16:30 America/New_York,534.54,169.9,94
20250616 12:17:00 America/New_York,534.7,239.3,197
20250616 12:17:30 America/New_York,534.66,491.15,197
20250616 12:18:00 America/New_York,534.68,243.1,132
20250616 12:18:30 America/New_York,534.65,64.47,41
20250616 12:19:00 America/New_York,534.55,146.29,91
20250616 12:19:30 America/New_York,534.5,90.69,53
20250616 12:20:00 America/New_York,534.53,116.98,94
20250616 12:20:30 America/New_York,534.55,110.75,49
20250616 12:21:00 America/New_York,534.53,137.58,53
20250616 12:21:30 America/New_York,534.57,97.56,37
20250616 12:22:00 America/New_York,534.52,184.82,68
20250616 12:22:30 America/New_York,534.48,160.38,93
20250616 12:23:00 America/New_York,534.59,183.4,124
20250616 12:23:30 America/New_York,534.42,174.05,137
20250616 12:24:00 America/New_York,534.28,400.57,225
20250616 12:24:30 America/New_York,534.25,290.6,207
20250616 12:25:00 America/New_York,534.2,124.01,94
20250616 12:25:30 America/New_York,534.14,184.05,103
20250616 12:26:00 America/New_York,534.03,280,156
20250616 12:26:30 America/New_York,534.02,220.64,84
20250616 12:27:00 America/New_York,534.1,189.34,100
20250616 12:27:30 America/New_York,534.06,110.62,62
20250616 12:28:00 America/New_York,534.03,151.11,98
20250616 12:28:30 America/New_York,534.19,197.6,145
20250616 12:29:00 America/New_York,534.18,47.75,33
20250616 12:29:30 America/New_York,534.08,89.14,64
20250616 12:30:00 America/New_York,534.13,112.68,85
20250616 12:30:30 America/New_York,534.15,139.91,86
20250616 12:31:00 America/New_York,534.1,101.8,64
20250616 12:31:30 America/New_York,534.09,131.03,84
20250616 12:32:00 America/New_York,534.07,59.44,49
20250616 12:32:30 America/New_York,534.17,100.09,82
20250616 12:33:00 America/New_York,534.16,82.44,66
20250616 12:33:30 America/New_York,534.18,182.35,70
20250616 12:34:00 America/New_York,534.11,42.71,31
20250616 12:34:30 America/New_York,534.04,112.03,69
20250616 12:35:00 America/New_York,533.99,106.94,93
20250616 12:35:30 America/New_York,533.86,232.48,151
20250616 12:36:00 America/New_York,533.92,320.78,206
20250616 12:36:30 America/New_York,534.03,95.16,65
20250616 12:37:00 America/New_York,534.11,331.08,166
20250616 12:37:30 America/New_York,534.08,136.2,89
20250616 12:38:00 America/New_York,534.01,181.76,87
20250616 12:38:30 America/New_York,534.07,62.5,56
20250616 12:39:00 America/New_York,534.05,39.25,35
20250616 12:39:30 America/New_York,534.01,68.04,57
20250616 12:40:00 America/New_York,533.93,219.18,174
20250616 12:40:30 America/New_York,533.82,79.6,56
20250616 12:41:00 America/New_York,533.9,104.92,61
20250616 12:41:30 America/New_York,533.78,129.85,76
20250616 12:42:00 America/New_York,533.71,291.05,166
20250616 12:42:30 America/New_York,533.84,134.45,104
20250616 12:43:00 America/New_York,533.75,274.15,175
20250616 12:43:30 America/New_York,533.81,92.51,67
20250616 12:44:00 America/New_York,533.7,127.95,103
20250616 12:44:30 America/New_York,533.66,298.16,230
20250616 12:45:00 America/New_York,533.58,276.82,198
20250616 12:45:30 America/New_York,533.66,225.73,138
20250616 12:46:00 America/New_York,533.55,150.06,105
20250616 12:46:30 America/New_York,533.74,231.92,174
20250616 12:47:00 America/New_York,533.84,104.71,63
20250616 12:47:30 America/New_York,533.86,260.04,191
20250616 12:48:00 America/New_York,533.83,241.71,124
20250616 12:48:30 America/New_York,533.85,86.29,35
20250616 12:49:00 America/New_York,533.8,72.73,64
20250616 12:49:30 America/New_York,533.79,51.27,33
20250616 12:50:00 America/New_York,533.75,156.49,111
20250616 12:50:30 America/New_York,533.88,63.99,53
20250616 12:51:00 America/New_York,533.95,204.77,156
20250616 12:51:30 America/New_York,534.07,240.25,150
20250616 12:52:00 America/New_York,534.23,538.79,314
